timestamp,voltage,current,temperature,iddq,prop_delay,criticality_level,label
2026-03-30T00:00:00.000Z,4.9744,1.1978,124.9573,10.8,4.539,2,normal
2026-03-30T00:00:01.000Z,4.9573,1.2051,124.8291,10.58,4.426,2,normal
2026-03-30T00:00:02.000Z,4.9866,1.2015,125.0,10.13,4.525,2,normal
2026-03-30T00:00:03.000Z,4.9744,1.1905,124.8291,8.84,4.421,2,normal
2026-03-30T00:00:04.000Z,4.9621,1.1978,125.0,10.56,4.575,2,normal
2026-03-30T00:00:05.000Z,4.9792,1.2088,124.8718,11.24,4.517,2,normal
2026-03-30T00:00:06.000Z,4.9597,1.1868,124.9573,9.29,4.482,2,normal
2026-03-30T00:00:07.000Z,4.9695,1.1941,124.6154,8.35,4.511,2,normal
2026-03-30T00:00:08.000Z,4.9719,1.2015,124.8291,10.9,4.433,2,normal
2026-03-30T00:00:09.000Z,4.9817,1.1978,124.8291,11.57,4.478,2,normal
2026-03-30T00:00:10.000Z,4.9817,1.1978,124.7436,12.62,4.523,2,normal
2026-03-30T00:00:11.000Z,4.9719,1.1978,124.7436,9.25,4.48,2,normal
2026-03-30T00:00:12.000Z,4.9744,1.1941,125.0,9.39,4.556,2,normal
2026-03-30T00:00:13.000Z,4.9695,1.2051,124.7863,10.15,4.463,2,normal
2026-03-30T00:00:14.000Z,4.9988,1.2015,124.8718,9.27,4.524,2,normal
2026-03-30T00:00:15.000Z,4.989,1.1941,124.4872,10.1,4.456,2,normal
2026-03-30T00:00:16.000Z,4.9719,1.1905,124.6581,8.67,4.483,2,normal
2026-03-30T00:00:17.000Z,5.011,1.1978,124.8291,9.93,4.426,2,normal
2026-03-30T00:00:18.000Z,4.9841,1.2015,124.9145,8.82,4.43,2,normal
2026-03-30T00:00:19.000Z,4.9988,1.1868,124.359,9.28,4.553,2,normal
2026-03-30T00:00:20.000Z,4.9768,1.1978,124.9573,8.69,4.464,2,normal
2026-03-30T00:00:21.000Z,4.9719,1.1941,124.6581,10.42,4.571,2,normal
2026-03-30T00:00:22.000Z,4.9695,1.1978,124.7863,9.94,4.566,2,normal
2026-03-30T00:00:23.000Z,4.9695,1.1941,124.7863,8.74,4.444,2,normal
2026-03-30T00:00:24.000Z,4.9646,1.2015,124.7009,8.53,4.419,2,normal
2026-03-30T00:00:25.000Z,4.9768,1.2088,124.6581,8.9,4.551,2,normal
2026-03-30T00:00:26.000Z,4.9792,1.2088,124.6581,7.98,4.432,2,normal
2026-03-30T00:00:27.000Z,4.9768,1.2015,124.6154,7.95,4.439,2,normal
2026-03-30T00:00:28.000Z,4.9768,1.1978,124.4872,12.19,4.485,2,normal
2026-03-30T00:00:29.000Z,4.989,1.1978,124.7009,9.16,4.468,2,normal
2026-03-30T00:00:30.000Z,4.9744,1.1941,124.8718,10.49,4.44,2,normal
2026-03-30T00:00:31.000Z,4.9841,1.1978,124.6581,9.48,4.453,2,normal
2026-03-30T00:00:32.000Z,4.9817,1.2015,124.8291,12.43,4.557,2,normal
2026-03-30T00:00:33.000Z,4.9792,1.1978,124.7436,9.24,4.44,2,normal
2026-03-30T00:00:34.000Z,4.9719,1.1905,124.7863,10.29,4.549,2,normal
2026-03-30T00:00:35.000Z,4.9792,1.1941,124.6581,10.42,4.493,2,normal
2026-03-30T00:00:36.000Z,4.9621,1.2015,124.5726,9.84,4.483,2,normal
2026-03-30T00:00:37.000Z,4.9939,1.1978,124.4444,10.61,4.488,2,normal
2026-03-30T00:00:38.000Z,4.9792,1.1978,124.4872,12.48,4.488,2,normal
2026-03-30T00:00:39.000Z,4.967,1.2161,124.7009,11.29,4.553,2,normal
2026-03-30T00:00:40.000Z,4.9719,1.2015,124.9145,9.41,4.498,2,normal
2026-03-30T00:00:41.000Z,4.9866,1.2051,124.6154,10.31,4.575,2,normal
2026-03-30T00:00:42.000Z,4.9939,1.1941,124.5726,10.23,4.57,2,normal
2026-03-30T00:00:43.000Z,4.9768,1.1978,124.7863,9.29,4.467,2,normal
2026-03-30T00:00:44.000Z,4.9744,1.1905,124.7863,9.45,4.429,2,normal
2026-03-30T00:00:45.000Z,4.9695,1.2015,124.4017,9.31,4.57,2,normal
2026-03-30T00:00:46.000Z,4.9792,1.1941,124.6581,8.94,4.456,2,normal
2026-03-30T00:00:47.000Z,4.9915,1.1978,124.7863,11.49,4.518,2,normal
2026-03-30T00:00:48.000Z,4.9817,1.1868,124.4017,9.47,4.449,2,normal
2026-03-30T00:00:49.000Z,4.9695,1.1941,124.5299,10.93,4.466,2,normal
2026-03-30T00:00:50.000Z,4.9915,1.2051,124.4444,10.42,4.576,2,normal
2026-03-30T00:00:51.000Z,4.9768,1.2015,124.6154,10.78,4.567,2,normal
2026-03-30T00:00:52.000Z,4.9621,1.1978,124.7863,10.44,4.554,2,normal
2026-03-30T00:00:53.000Z,4.9621,1.2051,124.4872,9.74,4.419,2,normal
2026-03-30T00:00:54.000Z,4.9695,1.1941,124.5726,7.57,4.44,2,normal
2026-03-30T00:00:55.000Z,4.9792,1.1941,124.5726,9.59,4.514,2,normal
2026-03-30T00:00:56.000Z,4.9695,1.1978,124.5299,9.21,4.496,2,normal
2026-03-30T00:00:57.000Z,4.9646,1.2051,124.7863,10.61,4.464,2,normal
